-3.00	0.0013	3.000
-2.96	0.0015	2.960
-2.92	0.0018	2.921
-2.88	0.0020	2.881
-2.84	0.0023	2.841
-2.80	0.0026	2.801
-2.76	0.0029	2.761
-2.72	0.0033	2.721
-2.68	0.0037	2.681
-2.64	0.0041	2.641
-2.60	0.0047	2.601
-2.56	0.0052	2.562
-2.52	0.0059	2.522
-2.48	0.0066	2.482
-2.44	0.0073	2.442
-2.40	0.0082	2.403
-2.36	0.0091	2.363
-2.32	0.0102	2.323
-2.28	0.0113	2.284
-2.24	0.0125	2.244
-2.20	0.0139	2.205
-2.16	0.0154	2.165
-2.12	0.0170	2.126
-2.08	0.0188	2.087
-2.04	0.0207	2.048
-2.00	0.0228	2.008
-1.96	0.0250	1.969
-1.92	0.0274	1.930
-1.88	0.0301	1.892
-1.84	0.0329	1.853
-1.80	0.0359	1.814
-1.76	0.0392	1.776
-1.72	0.0427	1.737
-1.68	0.0465	1.699
-1.64	0.0505	1.661
-1.60	0.0548	1.623
-1.56	0.0594	1.586
-1.52	0.0643	1.548
-0.48	0.3156	0.684
-0.44	0.3300	0.657
-0.40	0.3446	0.630
-0.36	0.3594	0.605
-0.32	0.3745	0.579
-0.28	0.3897	0.554
-0.24	0.4052	0.530
-0.20	0.4207	0.507
-0.16	0.4364	0.484
-0.12	0.4522	0.462
-0.08	0.4681	0.440
-0.04	0.4840	0.419
0.00	0.5000	0.399
0.44	0.6700	0.217
0.48	0.6844	0.204
0.52	0.6985	0.192
0.56	0.7123	0.180
0.60	0.7257	0.169
0.64	0.7389	0.158
0.68	0.7517	0.148
0.72	0.7642	0.138
0.76	0.7764	0.129
0.80	0.7881	0.120
0.84	0.7995	0.112
0.88	0.8106	0.104
0.92	0.8212	0.097
0.96	0.8315	0.090
1.00	0.8413	0.083
1.04	0.8508	0.077
1.08	0.8599	0.071
1.12	0.8686	0.066
1.16	0.8770	0.061
1.20	0.8849	0.056
1.24	0.8925	0.052
1.28	0.8997	0.047
1.32	0.9066	0.044
1.36	0.9131	0.040
1.40	0.9192	0.037
1.44	0.9251	0.034
1.48	0.9306	0.031
1.52	0.9357	0.028
1.56	0.9406	0.026
1.60	0.9452	0.023
1.64	0.9495	0.021
1.68	0.9535	0.019
1.72	0.9573	0.017
1.76	0.9608	0.016
1.80	0.9641	0.014
1.84	0.9671	0.013
1.88	0.9699	0.012
1.92	0.9726	0.010
1.96	0.9750	0.009
2.00	0.9772	0.008
2.04	0.9793	0.008
2.08	0.9812	0.007
2.12	0.9830	0.006
2.16	0.9846	0.005
2.20	0.9861	0.005
2.24	0.9875	0.004
2.28	0.9887	0.004
2.32	0.9898	0.003
2.36	0.9909	0.003
2.40	0.9918	0.003
2.44	0.9927	0.002
2.48	0.9934	0.002
2.52	0.9941	0.002
2.56	0.9948	0.002
2.60	0.9953	0.001
2.64	0.9959	0.001
2.68	0.9963	0.001
2.72	0.9967	0.001
2.76	0.9971	0.001
2.80	0.9974	0.001
2.84	0.9977	0.001
2.88	0.9980	0.001
2.92	0.9982	0.001
2.96	0.9985	0.000
3.00	0.9987	0.000


